#FLYBASE1	FLYBASE2	PubMedIds	UniProtID1	UniProtID2	Name1	Name2	Score
FBgn0000008	FBgn0002622	14605208	Q9W283	Q06559	A	RPS3	0.21
FBgn0000008	FBgn0003870	14605208	Q9W283	P42282	A	TTK	0.183
FBgn0000008	FBgn0004449	25294943	Q9W283	O61307	A	TEN-M	0.236
FBgn0000008	FBgn0015774	25294943	Q9W283	Q24568	A	NETB	0.126
FBgn0000008	FBgn0028336	14605208	Q9W283	Q9W3X6	L(1)G0255	A	0.183
FBgn0000008	FBgn0028969	14605208	Q9W283	Q9W555	DELTACOP	A	0.183
FBgn0000008	FBgn0030082	14605208	Q9W283	Q9W396	HP1B	A	0.183
FBgn0000008	FBgn0031957	14605208	Q9W283	Q8SZP2	A	TWDLE	0.183
FBgn0000008	FBgn0035499	14605208	Q9W283	Q9VZI1	A	CHD64	0.183
FBgn0000008	FBgn0039846	14605208	Q9W283	Q9V9X7	A	CG11337-RD	0.183
FBgn0000008	FBgn0040371	14605208	Q9W283	Q9V3G9	A	EG:BACR37P7.5	0.183
FBgn0000008	FBgn0260936	25294943	Q9W283	Q9VRP5	A	SCNY	0.126
FBgn0000014	FBgn0000611	unpublished	P29555	P40427	EXD	ABD-A	0.126
FBgn0000014	FBgn0039858	14605208	P29555	Q95TJ9	CYCG	ABD-A	0.354
FBgn0000015	FBgn0000559	14605208	P09087	P13060	EF2	ABD-B	0.354
FBgn0000015	FBgn0028837	14605208	P09087	Q9VCY3	CSN6	ABD-B	0.354
FBgn0000015	FBgn0031174	14605208	P09087	Q9VRG8	Q9VRG8	ABD-B	0.21
FBgn0000015	FBgn0034372	14605208	P09087	Q7K0S5	GINT3	ABD-B	0.21
FBgn0000015	FBgn0036716	14605208	P09087	Q9VVG1	CG13728-RA	ABD-B	0.21
FBgn0000015	FBgn0051973	14605208	P09087	Q9VPI3;Q9VPI4	CDA5	ABD-B	0.033;0.183
FBgn0000015	FBgn0053207	14605208	P09087	Q8MY02	PXB	ABD-B	0.033
FBgn0000015	FBgn0260441	14605208	P09087	P80455	RPS12	ABD-B	0.332
FBgn0000015	FBgn0260817	14605208	P09087	Q9VQM4	GKT	ABD-B	0.354
FBgn0000015	FBgn0283473	14605208	P09087	Q9VWQ2	PK17E	ABD-B	0.354
FBgn0000017	FBgn0000464	10069336	P00522	P16621	LAR	ABL	0.636
FBgn0000017	FBgn0000578	10220404	P00522	Q8T4F7	ENA	ABL	0.454
FBgn0000017	FBgn0000711	21447707;25294943	P00522	P48462;Q8T0U6	FLW	ABL	0.126;0.236
FBgn0000017	FBgn0003371	25294943	P00522	P18431	SGG	ABL	0.126
FBgn0000017	FBgn0004449	25294943	P00522	O61307	ABL	TEN-M	0.126
FBgn0000017	FBgn0010905	25294943	P00522	M9NFI9	ABL	M9NFI9	0.236
FBgn0000017	FBgn0014007	10069336	P00522	P16620	PTP69D	ABL	0.033
FBgn0000017	FBgn0015774	25294943	P00522	Q24568	NETB	ABL	0.126
FBgn0000017	FBgn0020510	unpublished	P00522	Q9Y0S9	ABI	ABL	0.126
FBgn0000022	FBgn0000022	unpublished	P10083	P10083	AC	AC	0.155
FBgn0000022	FBgn0000575	9371806	P10083	P18491	EMC	AC	0.155
