#UniProtID1	UniProtID2	PubMedIds	Name1	Name2	Score
P35875	P35600	22036573	PARP	GNF1	0.126
P53034	P35600	22036573	RFC4	GNF1	0.126
Q23976	P35600	22036573	IRBP	GNF1	0.126
Q24492	P35600	22036573	RPA-70	GNF1	0.126
Q709R6	P35600	22036573	Q709R6	GNF1	0.126
Q8IRH5	P35600	22036573	Q8IRH5	GNF1	0.126
Q9VJ00	P35600	14605208	LIM3	GNF1	0.21
Q9W418	P34739	14605208	UBI-P5E	LDS	0.183
P35676	P07909	14605208	P35676	HRB98DE	0.033
Q9VFX5	P35676	14605208	Q9VFX5	P35676	0.033
Q9VRX7	P35676	14605208	Q9VRX7	P35676	0.033
Q9W1X9	P35676	14605208	ASRIJ	P35676	0.033
Q86B87	P34739	19079254	MOD(MDG4)	LDS	0.126
P35820	P26017	unpublished	PSC	PC	0.126
P39769	P35820	unpublished	PH-P	PSC	0.126
Q9NF31	P35820	unpublished	PH-D	PSC	0.126
P35832	P35832	23827685	PTP99A	PTP99A	0.155
P35875	O46043	17827147	PARP	PARG	0.21
P35875	P07486	17827147	PARP	GAPDH1	0.21
P35875	P29327	17827147	PARP	RPS6	0.21
P35875	P35875	17827147	PARP	PARP	0.236
P41042	P35875	17827147	RPS4	PARP	0.21
P41093	P35875	17827147	RPL18A	PARP	0.21
P48610	P35875	17827147	ARGK	PARP	0.21
P50887	P35875	17827147	RPL22	PARP	0.309
P53034	P35875	22036573	RFC4	PARP	0.126
P55841	P35875	17827147	RPL14	PARP	0.21
Q03334	P35875	17827147	RPS13	PARP	0.21
Q04691	P35875	17827147	FBP1	PARP	0.21
Q08473	P35875	19346337	SQD	PARP	0.21
Q23976	P35875	22036573	IRBP	PARP	0.126
Q24478	P35875	24055367	CP190	PARP	0.126
Q9W053	P35875	14605208	ZORMIN	PARP	0.183
Q8T4F7	P35992	10069336	ENA	PTP10D	0.21
P34739	A4V1F9	14605208	LDS	UBI-P63E	0.033
P32866	A1Z6H6	25294943	GPRK2	A1Z6H6	0.126
Q9W3J2	P32865	14605208	Q9W3J2	GPRK1	0.183
Q9W0P9	P39413	14605208	KAH	AEF1	0.21
Q9VAU6	P39413	14605208	Q9VAU6	AEF1	0.21
P32866	B7Z043	25294943	GPRK2	B7Z043	0.126
Q9VQZ6	P32866	25294943	ELP3	GPRK2	0.126
P40301	O17311	19079254	PROSALPHA2	PROSBETA2	0.126
P40301	O18413	22036573;19079254	PROSALPHA2	RPT6	0.332
P48601	P40301	22036573;19079254	RPT2	PROSALPHA2	0.332
P49071	P40301	19079254	MAPK-AK2	PROSALPHA2	0.126
Q7JWV5	P40301	14605208	Q7JWV5	PROSALPHA2	0.21
Q8SZ19	P40301	19079254	RPT4	PROSALPHA2	0.126
P32866	P29327	25294943	GPRK2	RPS6	0.126
Q95083	P40301	22036573;19079254	PROSALPHA5	PROSALPHA2	0.332
Q9V345	P40301	19079254	CSN4	PROSALPHA2	0.236
Q9V5C6	P40301	22036573;19079254	PROSALPHA7	PROSALPHA2	0.236
Q9VJJ0	P40301	19079254	PROSBETA4	PROSALPHA2	0.126
Q9VK14	P40301	19079254	PROSALPHA6T	PROSALPHA2	0.126
Q7YTZ4	P32866	25294943	Q7YTZ4	GPRK2	0.126
Q9XYN7	P40301	22036573;19079254	PROSBETA3	PROSALPHA2	0.332
P32866	P15348	25294943	GPRK2	TOP2	0.126
P32866	O17468	25294943	GPRK2	HIRA	0.126
Q7K012	P32866	25294943	BAP55	GPRK2	0.126
P48605	P32866	25294943	CCTGAMMA	GPRK2	0.126
P40423	P32866	25294943	SQH	GPRK2	0.126
P48451	P32866	25294943	CANB	GPRK2	0.126
Q7JVY2	P32866	25294943	DUP	GPRK2	0.126
Q24050	P32866	25294943	ANON-I1	GPRK2	0.126
Q5BI62	P32866	25294943	Q5BI62	GPRK2	0.126
Q9VA59	P32866	25294943	TMOD	GPRK2	0.126
Q8MLQ3	P32866	25294943	Q8MLQ3	GPRK2	0.126
Q8ING1	P32866	25294943	Q8ING1	GPRK2	0.126
Q9VQR8	P32866	25294943	Q9VQR8	GPRK2	0.126
Q8T079	P32866	25294943	Q8T079	GPRK2	0.126
P40304	O18413	22036573	PROSBETA6	RPT6	0.126
P40304	P12881	22036573	PROSBETA6	PROSALPHA6	0.126
P40304	P18053	22036573	PROSBETA6	PROSALPHA3	0.126
P40304	P22769	22036573	PROSBETA6	PROSALPHA4	0.126
P40304	P26270	22036573	PROSBETA6	RPN8	0.126
P40304	P40301	22036573	PROSBETA6	PROSALPHA2	0.126
P46824	P40304	22036573	KLC	PROSBETA6	0.126
P48601	P40304	22036573	RPT2	PROSBETA6	0.126
Q7K2G1	P40304	22036573	RPN13	PROSBETA6	0.126
Q7KLV9	P40304	22036573	RPN6	PROSBETA6	0.126
Q95083	P40304	22036573	PROSALPHA5	PROSBETA6	0.126
Q8SXM8	P32866	25294943	AATS-LYS	GPRK2	0.126
Q9V3G7	P40304	22036573	RPN7	PROSBETA6	0.126
Q9V3H2	P40304	22036573	RPN11	PROSBETA6	0.126
Q9V3P6	P40304	22036573	RPN2	PROSBETA6	0.126
Q9V5C6	P40304	22036573	PROSALPHA7	PROSBETA6	0.126
Q9VFI3	P40304	14605208	Q9VFI3	PROSBETA6	0.21
Q9VNA5	P40304	22036573	PROSBETA7	PROSBETA6	0.126
Q9VQE5	P40304	22036573	PROSBETA4R2	PROSBETA6	0.126
Q9VYY4	P40304	22036573	CYP4G15	PROSBETA6	0.126
Q9XYN7	P40304	22036573	PROSBETA3	PROSBETA6	0.126
Q9XZJ4	P40304	22036573	PROSALPHA1	PROSBETA6	0.126
Q9VM02	P32866	14605208	RAPGAP1	GPRK2	0.183
Q9VGR2	P32866	25294943	Q9VGR2	GPRK2	0.126
Q9VAH4	P32866	25294943	FIG	GPRK2	0.126
Q9VAW5	P32866	25294943	LARP	GPRK2	0.126
Q9VK69	P32866	25294943	Q9VK69	GPRK2	0.126
Q9VJE5	P32866	25294943	CLIP-190	GPRK2	0.126
Q9VK08	P32866	25294943	Q9VK08	GPRK2	0.126
Q9VSY4	P32866	25294943	Q9VSY4	GPRK2	0.126
Q9VR50	P32866	25294943	Q9VR50	GPRK2	0.126
Q9VR65	P32866	25294943	Q9VR65	GPRK2	0.126
Q9Y128	P32866	25294943	CERT	GPRK2	0.126
Q9VT00	P32866	25294943	JARID2	GPRK2	0.126
Q9VTK2	P32866	25294943	RT {ECO:0000312|EMBL:AAF50046.2}	GPRK2	0.126
Q9W392	P32866	25294943	Q9W392	GPRK2	0.126
Q9VTN6	P32866	25294943	Q9VTN6	GPRK2	0.126
Q9W2Z4	P32866	25294943	Q9W2Z4	GPRK2	0.126
Q9Y141	P32866	25294943	Q9Y141	GPRK2	0.126
Q27279	P34739	15710747	SU(FU)	LDS	0.126
Q9VGX3	P32870	14605208	FAU	RUT	0.033
P32870	C0HK94	14605208	RUT	C0HK94	0.183
P40320	O97121	19079254	SAM-S	EIP55E	0.126
P40320	P09180	14605208	SAM-S	RPL4	0.354
P48605	P40320	14605208	CCTGAMMA	SAM-S	0.354
Q7K1Q7	P40320	19079254	RPLP0-LIKE	SAM-S	0.236
Q9V3Z4	P40320	14605208	RPN5	SAM-S	0.21
Q9VGN4	P40320	14605208	SALS	SAM-S	0.21
Q9VHJ3	P40320	14605208	E(VAR)3-9	SAM-S	0.21
Q9VKS2	P40320	14605208	Q9VKS2	SAM-S	0.21
Q9VS80	P40320	14605208	CG8539-RA	SAM-S	0.21
Q9VX97	P40320	14605208	CG4880-RA	SAM-S	0.21
Q9VZF4	P40320	15710747	AGO	SAM-S	0.309
Q95TJ9	P34021	15575970	CYCG	ECR	0.332
Q9V5L3	P34082	25294943	CYP49A1	FAS2	0.126
P34082	P26675	25294943	FAS2	SOS	0.126
P48609	P34021	15575970	CDK5	ECR	0.332
P34021	O17144	15575970	ECR	CYCH	0.183
Q95R37	P34021	16603075	Q95R37	ECR	0.126
P34021	O77051	15575970	ECR	E2F2	0.332
P34021	P23573	15575970	ECR	CDC2C	0.332
P34021	O97143	15575970	ECR	SAK	0.332
P34021	P20153	7644522	ECR	USP	0.155
Q94899	P34021	10207062	ALIEN	ECR	0.396
P49657	P34021	15575970	MNB	ECR	0.183
Q7K306	P34021	15575970	CDK4	ECR	0.183
P91668	P34021	15575970	DAP	ECR	0.183
Q24190	P34021	15575970	PAK	ECR	0.183
Q8INB9	P34021	15575970	AKT1	ECR	0.332
Q7KPG8	P34021	15575970	MAT1	ECR	0.183
Q8IGE8	P34021	15575970	PTC	ECR	0.183
Q7YTY6	P34021	14605208	SPN42DD	ECR	0.332
Q86BY9	P34021	14645129	RIG	ECR	0.309
Q868J0	P34021	15575970	PLU	ECR	0.183
P40417	P21525	unpublished	RL	KAY	0.126
P40417	P23573	14605208	RL	CDC2C	0.354
Q9NH11	P34021	15575970	RECQ4	ECR	0.183
Q7KIF8	P40417	unpublished	MSK	RL	0.126
Q8SWV4	P40417	unpublished	ALK	RL	0.126
Q8T9L5	P40417	unpublished	LKB1	RL	0.126
Q9U1H0	P40417	17255944	CIC	RL	0.82
Q9V393	P40417	20802461	KRZ	RL	0.569
Q9VRI1	P40417	14605208	Q9VRI1	RL	0.21
Q9VT65	P40417	19694808	CALPB	RL	0.065
Q9VVW5	P40417	unpublished	MKP3	RL	0.126
Q9W2F3	P40417	unpublished	PTP-ER	RL	0.126
P62152	P40421	11754840	CAM	RDGC	0.454
Q07327	P40423	22036573	ROP	SQH	0.126
Q9V7S5	P40423	22036573	PICOT	SQH	0.126
Q9GTQ8	P34021	15575970	CYCD	ECR	0.183
P40427	B7YZS3	14605208	EXD	TAMO	0.033
P40427	M9PEE8	14605208	EXD	M9PEE8	0.033
P40427	O18412	14605208	EXD	FZO	0.354
P40427	O18640	14605208	EXD	RACK1	0.354
Q961D1	P34021	15575970	CYCK	ECR	0.183
P40427	P02836	unpublished	EXD	EN	0.126
P40427	P07548	9878063	EXD	DFD	0.376
Q961G6	P34021	15575970	CG7683	ECR	0.183
P40427	P09077	17981120	EXD	SCR	0.396
P40427	P20009	unpublished	EXD	DLL	0.126
P40427	P29555	unpublished	EXD	ABD-A	0.126
Q24251	P40427	14605208	ATPSYN-D	EXD	0.354
Q8IMW9	P40427	14605208	Q8IMW9	EXD	0.033
Q9V439	P40427	14605208	MED22	EXD	0.354
Q9VHS3	P40427	14605208	Q9VHS3	EXD	0.21
Q9VLU9	P40427	14605208	Q9VLU9	EXD	0.21
Q9VPD7	P40427	14605208	Q9VPD7	EXD	0.033
Q9VIH1	P34021	15575970	RPA2	ECR	0.183
Q9VPE1	P40427	14605208	Q9VPE1	EXD	0.183
Q9VR21	P40427	14605208	TAF12L	EXD	0.21
Q9V9R2	P34021	15575970	CUL2	ECR	0.183
Q9VVG9	P40427	14605208	Q9VVG9	EXD	0.21
Q9W1A4	P40427	14605208	TAMO	EXD	0.332
Q9VIF2	P34021	15575970	Q9VIF2	ECR	0.183
Q9W3A7	P40427	14605208	CG12661-RA	EXD	0.21
Q9VDE3	P34021	15710747	SLMB	ECR	0.183
Q9VNE1	P34021	15575970	REV7	ECR	0.183
Q9VLW7	P34021	15575970	CDC14	ECR	0.183
Q9W5G0	P34021	15575970	Q9W5G0	ECR	0.183
Q9VS59	P34021	25180232	AKIRIN	ECR	0.309
Q9W1J7	P34021	15575970	Q9W1J7	ECR	0.183
P34082	P25822	25294943	FAS2	PUM	0.126
P34082	A1Z6L9	21447707	FAS2	TRAP1	0.126
P36179	O77051	14605208	PP2A-29B	E2F2	0.332
Q9U6R9	P36179	14605208	GAMMASNAP1	PP2A-29B	0.183
Q9VFR4	P36179	14605208	Q9VFR4	PP2A-29B	0.183
Q9VGY3	P36179	14605208	Q9VGY3	PP2A-29B	0.332
Q9VJ00	P36179	14605208	LIM3	PP2A-29B	0.183
Q9VSY9	P36179	14605208	NF-YA	PP2A-29B	0.183
P36188	A0A0B4	14605208	WUPA	A0A0B4	0.033
P36188	A1ZAW5	22036573	WUPA	ICLN	0.126
P36188	P05661	22036573	WUPA	MHC	0.126
P36188	P09491	22036573	WUPA	TM2	0.126
P36188	P19351	22036573	WUPA	UP	0.126
P36188	P29829	14605208	WUPA	GBETA76C	0.354
P36188	P35554	22036573	WUPA	FLN	0.126
P41043	P36188	22036573	GSTS1	WUPA	0.126
P47947	P36188	22036573	TPNC41C	WUPA	0.126
P47948	P36188	14605208	TPNC47D	WUPA	0.49
P49258	P36188	14605208	ACAM	WUPA	0.472
P50887	P36188	14605208	RPL22	WUPA	0.354
Q24407	P36188	22036573	ATPSYN-CF6	WUPA	0.126
Q24439	P36188	22036573	OSCP	WUPA	0.126
Q7JX82	P36188	19079254	KERMIT	WUPA	0.236
Q94516	P36188	22036573	ATPSYN-B	WUPA	0.126
Q9W141	P36188	22036573	Q9W141	WUPA	0.126
P36241	A1ZB77	14605208	RPL19	A1ZB77	0.183
P36241	P11420	14605208	RPL19	DA	0.354
P91632	P36241	14605208	MUB	RPL19	0.21
Q9VEF5	P36241	14605208	Q9VEF5	RPL19	0.21
Q9VFL8	P36241	16603075	CG9624-RA	RPL19	0.126
Q9VIL6	P36241	14605208	Q9VIL6	RPL19	0.21
Q9VUY2	P36241	14605208	Q9VUY2	RPL19	0.21
Q9VYC7	P36241	14605208	NETO	RPL19	0.21
P34082	A1Z6J5	25294943	FAS2	A1Z6J5	0.126
P34082	A1Z6H7	25294943	FAS2	GP210	0.126
P34082	A1ZBW7	25294943	FAS2	A1ZBW7	0.126
P34082	A1Z713	21447707	FAS2	A1Z713	0.126
P34082	A1Z8V7	25294943	FAS2	VHA36-2	0.126
P34082	A1Z700	25294943	FAS2	DIDUM	0.126
P34082	P22817	25294943	FAS2	IDE	0.126
P34082	A1Z7S0	25294943	FAS2	RME-8	0.126
P34082	A1Z7V9	25294943	FAS2	CG1814-RA	0.126
P34082	A1Z818	25294943	FAS2	A1Z818	0.126
P34082	A1Z8W2	25294943	FAS2	A1Z8W2	0.126
P34082	A1ZBW1	25294943	FAS2	A1ZBW1	0.126
P34082	A1Z9S6	25294943	FAS2	SU(VAR)2-HP2	0.126
P34082	A1Z9P3	25294943	FAS2	SHROOM	0.126
P34082	A1Z9M0	25294943	FAS2	A1Z9M0	0.126
P34082	A1Z9J1	21447707	FAS2	SHOT	0.126
P34082	A1ZAW0	25294943	FAS2	DCR-2	0.126
P34082	A1ZAE9	25294943	FAS2	A1ZAE9	0.126
P34082	A1ZAQ7	25294943	FAS2	A1ZAQ7	0.126
P34082	A1ZBU4	25294943	FAS2	A1ZBU4	0.126
Q9VQ04	Q94524	14605208	CG5565-RA	DLC90F	0.21
P34082	A1ZAW3	25294943	FAS2	RHOGAP54D	0.126
P34082	A1ZBE8	25294943	FAS2	A1ZBE8	0.126
P34082	A1ZB14	25294943	FAS2	A1ZB14	0.126
P34082	A1ZBL0	21447707	FAS2	BETATUB56D	0.126
P34082	O18408	25294943	FAS2	AMYREL	0.126
P34082	A8MZR2	25294943	FAS2	A8MZR2	0.126
P34082	O01352	25294943	FAS2	DJ	0.126
P34082	M9MSG3	21447707	FAS2	MSP300	0.126
P34082	B5X0I8	25294943	FAS2	B5X0I8	0.126
P34082	E2QCZ5	25294943	FAS2	E2QCZ5	0.126
P34082	O16810	25294943	FAS2	ORC1	0.126
P34082	P04052	25294943	FAS2	RPII215	0.126
P34082	O76454	22036573	FAS2	PCD	0.126
P34082	O62619	25294943	FAS2	PYK	0.126
P34082	O97394	25294943	FAS2	SDK	0.126
P34082	O76923	25294943	FAS2	O76923	0.126
P34082	P20439	25294943	FAS2	CYCB	0.126
P34082	P12080	25294943	FAS2	IF	0.126
P34082	P07486	25294943	FAS2	GAPDH1	0.126
Q9VMS6	Q94524	14605208	BSG25D	DLC90F	0.033
P36872	A1Z8N9	25294943	TWS	A1Z8N9	0.126
P36872	P36179	25294943	TWS	PP2A-29B	0.126
P42003	P36872	15575970	MAD	TWS	0.332
Q7JQV2	P36872	25294943	Q7JQV2	TWS	0.126
Q7JWP9	P36872	25294943	Q7JWP9	TWS	0.126
Q7K306	P36872	15575970	CDK4	TWS	0.183
Q7KJ69	P36872	15575970	SKPB	TWS	0.183
Q9VDK5	Q94517	22682252	BON	RPD3	0.21
Q8I8U7	P36872	25294943	NIPPED-A	TWS	0.126
Q8IR22	P36872	25294943	Q8IR22	TWS	0.126
Q95U06	P36872	25294943	Q95U06	TWS	0.126
Q9VI64	Q94524	14605208	Q9VI64	DLC90F	0.21
Q9I7T6	P36872	25294943	CG10862-RA	TWS	0.126
Q9I7T7	P36872	14605208	Q9I7T7	TWS	0.354
Q9W5Q2	Q94514	14605208	Q9W5Q2	COVA	0.21
Q9V407	P36872	unpublished	AXN	TWS	0.126
Q9V4Z9	P36872	14605208	LIN	TWS	0.354
Q9W334	Q94514	14605208	RPS28B	COVA	0.354
Q9U9D0	Q94513	12629048	DWG	BEAF-32	0.21
Q9VB18	P36872	25294943	Q9VB18	TWS	0.126
Q9VD28	Q94511	22036573	PSR	ND75	0.126
Q9VDZ2	P36872	25294943	CG14282-RA	TWS	0.126
Q94511	Q8IPW1	14605208	ND75	ARU	0.21
Q9W328	Q94511	22036573	LST8	ND75	0.126
Q9VKM2	P36872	25294943	SCAR	TWS	0.126
Q9VE20	Q94511	14605208	Q9VE20	ND75	0.21
Q9W1V2	Q94511	14605208	Q9W1V2	ND75	0.21
Q9VLZ2	P36872	25294943	Q9VLZ2	TWS	0.126
Q9W141	Q94514	22036573	Q9W141	COVA	0.126
Q94514	Q7KNM2	14605208	COVA	LWR	0.183
Q9VMJ7	P36872	25294943	LID	TWS	0.126
Q94514	O46050	14605208	COVA	NMD3	0.21
Q94514	P50882	14605208	COVA	RPL9	0.354
Q9VML8	P36872	25294943	RAU	TWS	0.126
Q9VQ22	Q94514	14605208	Q9VQ22	COVA	0.21
Q94514	Q7KVX1	14605208	COVA	L(1)G0334	0.033
Q9VNE0	P36872	25294943	Q9VNE0	TWS	0.126
