source_name;source_uniprotAC;source_speciesID;source_species;source_topology;source_pathways;target_name;target_uniprotAC;target_speciesID;target_species;target_topology;target_pathways;layer;interaction_type;directness;effect;references;source;confidence_score;score_from_the_source
CG10064;Q8T4D0;FBgn0035724;D. melanogaster;;;CG4531;Q00805;FBgn0004569;D. melanogaster;Co-factor;RTK(non-core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);;Structure filter: 1.55556
CG3004;B4F5L6;FBgn0264691;D. melanogaster;;;CG4531;Q00805;FBgn0004569;D. melanogaster;Co-factor;RTK(non-core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);;Structure filter: 1.55556
CG11579;P18824;FBgn0000117;D. melanogaster;;WNT/Wingless(core);Cby;Q4V6B6;FBgn0067317;D. melanogaster;Co-factor;WNT/Wingless(non-core);interaction from external databases;PPI undirected;direct;unknown;21036869;DROID(url: http://www.droidb.org/ ,pmid: 21036869);;
Dmel_CG42230;Q15K24;FBgn0087007;D. melanogaster;;;CG10079;P04412;FBgn0003731;D. melanogaster;Receptor;RTK(core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);;Structure filter: 1.225
Act57B-RA;C8VV69;FBgn0000044;D. melanogaster;;;CG6033;Q08012;FBgn0004638;D. melanogaster;Mediator;RTK(core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);;Structure filter: 1.75714
Act57B-RA;C8VV69;FBgn0000044;D. melanogaster;;;CG10079;P04412;FBgn0003731;D. melanogaster;Receptor;RTK(core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);;Structure filter: 2.005
Act57B-RA;C8VV69;FBgn0000044;D. melanogaster;;;CG9211;Q9VM64;FBgn0031872;D. melanogaster;Co-factor;Hedgehog(non-core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);;Structure filter: 1.845
Act57B-RA;C8VV69;FBgn0000044;D. melanogaster;;;CG7555;Q9VVI3;FBgn0259174;D. melanogaster;Co-factor,Endocytosis related ;Notch(non-core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);;Structure filter: 1.8
Act57B-RA;C8VV69;FBgn0000044;D. melanogaster;;;CG11988;P29503;FBgn0002932;D. melanogaster;Endocytosis related ;Notch(non-core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);;Structure filter: 1.76652
Act57B-RA;C8VV69;FBgn0000044;D. melanogaster;;;CG10334;Q01083;FBgn0005672;D. melanogaster;Ligand ;RTK(core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);;Structure filter: 1.8125
Dmel_CG42616;Q9V475;FBgn0261268;D. melanogaster;Co-factor;Hedgehog(non-core);CG2125;P19538;FBgn0004859;D. melanogaster;Mediator,Transcription factor;Hedgehog(core);Interaction between pathway members;PPI directed;direct;stimulation;16740475|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.19659;
Act57B-RA;C8VV69;FBgn0000044;D. melanogaster;;;CG4531;Q00805;FBgn0004569;D. melanogaster;Co-factor;RTK(non-core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);;Structure filter: 1.70333
CG4379;P12370;FBgn0000273;D. melanogaster;Mediator;Hedgehog(core),WNT/Wingless(core);CG34403;P91943;FBgn0085432;D. melanogaster;Mediator,Transcription factor;WNT/Wingless(core);interaction from external databases;PPI undirected;direct;unknown;11504926|21071413;Biogrid(url: http://thebiogrid.org/ ,pmid: 21071413);GO Semantic Similarity: 0.248264;
CG18085;P13368;FBgn0003366;D. melanogaster;;RTK(core);CG7793;P26675;FBgn0001965;D. melanogaster;Mediator;RTK(core);Directed protein-protein interaction;PPI predicted as directed;direct;unknown;21036869;DROID(url: http://www.droidb.org/ ,pmid: 21036869);GO Semantic Similarity: 0.180603;
CG2275;P18289;FBgn0001291;D. melanogaster;Transcription factor;RTK(core);CG18085;P13368;FBgn0003366;D. melanogaster;;RTK(core);interaction from external databases;PPI undirected;direct;unknown;9224723|7923366|21071413;Biogrid(url: http://thebiogrid.org/ ,pmid: 21071413);GO Semantic Similarity: 0.180603;
