#FlyBase1	FlyBase2	PubMedIDs	InteractionType	Directedness
FBgn0020621	FBgn0031872	22110040	Post-translational_modification	PPI_directed
FBgn0004106	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0264492	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0010269	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0261530	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0003984	FBgn0001169	12049762;9383058;21071413	interaction_from_external_databases	PPI_undirected
FBgn0261278	FBgn0003557	22110040	Post-translational_modification	PPI_directed
FBgn0000119	FBgn0016797	21036869	interaction_from_external_databases	PPI_undirected
FBgn0003716	FBgn0020493	9335506;18588885;21036869;21071413	interaction_from_external_databases	PPI_undirected
FBgn0025716	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0034950	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0000046	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0026319	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0003256	FBgn0003557	22110040	Post-translational_modification	PPI_directed
FBgn0010333	FBgn0014001	15479641;23331499;10847683;15710747;21036869;15572110;14527437	Interaction_between_pathway_members;Directed_protein-protein_interaction	PPI_directed;PPI_predicted_as_directed
FBgn0040068	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0040011	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0003366	FBgn0001965	21036869	Directed_protein-protein_interaction	PPI_predicted_as_directed
FBgn0031905	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0004647	FBgn0001139	2338245;11719214;12154126;21071413	interaction_from_external_databases	PPI_undirected
FBgn0003654	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0026063	FBgn0003557	22110040	Post-translational_modification	PPI_directed
FBgn0004859	FBgn0001079	9858670;8861096;15063184;21036869;14611647;12163413;10825151;21071413	interaction_from_external_databases	PPI_undirected
FBgn0003091	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0024248	FBgn0020622	21036869	Directed_protein-protein_interaction	PPI_predicted_as_directed
FBgn0004009	FBgn0000490	8582266;12091309;9043089;10409497;9716539;9927593;9389669;21071413	interaction_from_external_databases	PPI_undirected
FBgn0038816	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0004367	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0031030	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0015618	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0003079	FBgn0004009	11526075;10860999;21071413	interaction_from_external_databases	PPI_undirected
FBgn0004367	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0030697	FBgn0259174	22110040	Post-translational_modification	PPI_directed
FBgn0004644	FBgn0250823	11804568;21071413	interaction_from_external_databases	PPI_undirected
FBgn0004197	FBgn0014388	15710747;21036869;21071413	interaction_from_external_databases	PPI_undirected
FBgn0027343	FBgn0004360	21036869	Directed_protein-protein_interaction	PPI_predicted_as_directed
FBgn0025865	FBgn0259174	22110040	Post-translational_modification	PPI_directed
FBgn0003371	FBgn0000119	23331499;16340998	Interaction_between_pathway_members	PPI_directed
FBgn0000274	FBgn0031872	22110040	Post-translational_modification	PPI_directed
FBgn0000273	FBgn0023423	23331499;12432393;21036869;17925225	Interaction_between_pathway_members	PPI_directed
FBgn0000147	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0038856	FBgn0015790	23331499;21036869;16137928	Interaction_between_pathway_members;Directed_protein-protein_interaction	PPI_directed;PPI_predicted_as_directed
FBgn0000273	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0045980	FBgn0031872	22110040	Post-translational_modification	PPI_directed
FBgn0035397	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0024326	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0003118	FBgn0003366	9883586;21071413	interaction_from_external_databases	PPI_undirected
FBgn0000524	FBgn0040206	14605208;21036869;21071413	interaction_from_external_databases	PPI_undirected
FBgn0259220	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0011737	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0003716	FBgn0004635	9056776;21071413	interaction_from_external_databases	PPI_undirected
FBgn0085385	FBgn0259174	22110040	Post-translational_modification	PPI_directed
FBgn0027363	FBgn0004864	23331499;12479803	Interaction_between_pathway_members	PPI_directed
FBgn0023423	FBgn0000577	21036869	Directed_protein-protein_interaction	PPI_predicted_as_directed
FBgn0024234	FBgn0003317	23331499;9636086;9735359;21071413	Interaction_between_pathway_members;interaction_from_external_databases	PPI_directed;PPI_undirected
FBgn0036544	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0011300	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0264959	FBgn0003557	22110040	Post-translational_modification	PPI_directed
FBgn0002643	FBgn0004009	10545243;21071413	interaction_from_external_databases	PPI_undirected
FBgn0038659	FBgn0259174	22110040	Post-translational_modification	PPI_directed
FBgn0026064	FBgn0003557	22110040	Post-translational_modification	PPI_directed
FBgn0052595	FBgn0003557	22110040	Post-translational_modification	PPI_directed
FBgn0015296	FBgn0004638	7509037;22110040;21036869;23331499	Post-translational_modification;Directed_protein-protein_interaction;Interaction_between_pathway_members	PPI_directed;PPI_predicted_as_directed
FBgn0026323	FBgn0000229	21071413	Directed_protein-protein_interaction	PPI_predicted_as_directed
FBgn0011743	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0086657	FBgn0031872	22110040	Post-translational_modification	PPI_directed
FBgn0004009	FBgn0000117	10924470;11124118;11717401;10581282;10457019;9039917;21071413	interaction_from_external_databases	PPI_undirected
FBgn0000721	FBgn0259174	22110040	Post-translational_modification	PPI_directed
FBgn0000229	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0003892	FBgn0003984	10588875;21071413	interaction_from_external_databases	PPI_undirected
FBgn0003256	FBgn0003079	8722784;11063697;22028469;8124723;21036869;10511556;11014822;8770593;10655223;21071413	interaction_from_external_databases	PPI_undirected
FBgn0031473	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0000463	FBgn0003326	8647397;21071413	interaction_from_external_databases	PPI_undirected
FBgn0032593	FBgn0005672	22110040	Post-translational_modification	PPI_directed
