#UniProt1	UniProt2	PubMedIDs	InteractionType	Directedness
A4V164	Q9VM64	22110040	Post-translational_modification	PPI_directed
Q3KN27	P04412	22110040	Post-translational_modification	PPI_directed
A1ZBH7	Q00805	22110040	Post-translational_modification	PPI_directed
B7FNN3	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q9NB04	P04412	22110040	Post-translational_modification	PPI_directed
Q8MZI6	P04412	22110040	Post-translational_modification	PPI_directed
F0JAI8	P29503	22110040	Post-translational_modification	PPI_directed
Q7KPK6	Q9VM64	22110040	Post-translational_modification	PPI_directed
Q8SXI6	P04412	22110040	Post-translational_modification	PPI_directed
Q9VGP9	Q01083	22110040	Post-translational_modification	PPI_directed
C8VUY9	Q08012	22110040	Post-translational_modification	PPI_directed
E1JGM9	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
C8VUZ5	Q08012	22110040	Post-translational_modification	PPI_directed
C7LAC8	Q9VM64	22110040	Post-translational_modification	PPI_directed
O01349	Q01083	22110040	Post-translational_modification	PPI_directed
Q6NP56	Q9VM64	22110040	Post-translational_modification	PPI_directed
Q95TT5	Q08012	22110040	Post-translational_modification	PPI_directed
O01653	Q01083	22110040	Post-translational_modification	PPI_directed
Q9VE98	Q00805	22110040	Post-translational_modification	PPI_directed
A1Z9X0	Q00805	22110040	Post-translational_modification	PPI_directed
Q9U485	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
H1ZY64	P04412	22110040	Post-translational_modification	PPI_directed
Q9VUZ6	Q00805	22110040	Post-translational_modification	PPI_directed
E5KZ50	P04412	22110040	Post-translational_modification	PPI_directed
G4LU57	Q00805	22110040	Post-translational_modification	PPI_directed
Q24044	Q00805	22110040	Post-translational_modification	PPI_directed
Q960G5	Q9VVI3	22110040	Post-translational_modification	PPI_directed
E1U3G2	P29503	22110040	Post-translational_modification	PPI_directed
P12370	Q9VDE3	23331499;12432393;21036869;17925225	Interaction_between_pathway_members	PPI_directed
Q6IHB1	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
C7LAB4	P29503	22110040	Post-translational_modification	PPI_directed
Q7JVF1	Q08012	22110040	Post-translational_modification	PPI_directed
Q9VI13	Q01083	22110040	Post-translational_modification	PPI_directed
Q1WWE7	P04412	22110040	Post-translational_modification	PPI_directed
Q95UN8	Q00805	22110040	Post-translational_modification	PPI_directed
O17048	Q08012	22110040	Post-translational_modification	PPI_directed
D0IQ97	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
A1Z7L8	Q08012	22110040	Post-translational_modification	PPI_directed
O61639	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
O97111	P04412	22110040	Post-translational_modification	PPI_directed
E1U3G1	Q00805	22110040	Post-translational_modification	PPI_directed
Q94888	P04412	22110040	Post-translational_modification	PPI_directed
P10041	P18537	10028968;21071413	interaction_from_external_databases	PPI_undirected
Q8INJ8	Q01083	22110040	Post-translational_modification	PPI_directed
Q86NK8	Q08012	22110040	Post-translational_modification	PPI_directed
Q0E8U6	Q00805	22110040	Post-translational_modification	PPI_directed
Q95YH7	Q00805	22110040	Post-translational_modification	PPI_directed
Q5LJP5	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
B3DN76	Q01083	22110040	Post-translational_modification	PPI_directed
Q9VX24	Q00805	22110040	Post-translational_modification	PPI_directed
A2VEK2	Q9VVI3	22110040	Post-translational_modification	PPI_directed
C0PDF3	Q00805	22110040	Post-translational_modification	PPI_directed
Q9W3K6	Q9VVI3	22110040	Post-translational_modification	PPI_directed
O76522	P29503	22110040	Post-translational_modification	PPI_directed
Q8SWX3	P29503	22110040	Post-translational_modification	PPI_directed
P12370	P04412	22110040	Post-translational_modification	PPI_directed
Q24096	P29503	22110040	Post-translational_modification	PPI_directed
Q9V9T1	Q00805	22110040	Post-translational_modification	PPI_directed
Q8IR79	Q9VM64	22110040	Post-translational_modification	PPI_directed
Q9XTN2	Q95V55	12908874;21036869	interaction_from_external_databases	PPI_undirected
Q8T473	Q9VM64	22110040	Post-translational_modification	PPI_directed
Q7K4E2	P04412	22110040	Post-translational_modification	PPI_directed
Q7KM03	Q01083	22110040	Post-translational_modification	PPI_directed
P31007	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q24326	Q08012	22110040	Post-translational_modification	PPI_directed
Q03043	Q08012	22110040	Post-translational_modification	PPI_directed
Q058V4	Q9VM64	22110040	Post-translational_modification	PPI_directed
P11346	P18289	8670899;21071413	interaction_from_external_databases	PPI_undirected
Q7KMI3	P29503	22110040	Post-translational_modification	PPI_directed
Q9U1H0	P16371	21036869	Directed_protein-protein_interaction	PPI_predicted_as_directed
Q0E974	P04412	22110040	Post-translational_modification	PPI_directed
Q8IGN9	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q9VU98	P04412	22110040	Post-translational_modification	PPI_directed
Q9VQD1	Q00805	22110040	Post-translational_modification	PPI_directed
P08646	P29349	8620840;11014820;21071413	interaction_from_external_databases	PPI_undirected
Q8IML9	Q08012	22110040	Post-translational_modification	PPI_directed
Q24218	P04412	22110040	Post-translational_modification	PPI_directed
Q4AB31	Q08012	22110040	Post-translational_modification	PPI_directed
Q9W5Q1	P04412	22110040	Post-translational_modification	PPI_directed
C0MJ66	P29503	22110040	Post-translational_modification	PPI_directed
Q5IF97	Q00805	22110040	Post-translational_modification	PPI_directed
Q961U1	P29503	22110040	Post-translational_modification	PPI_directed
B6UW20	Q9VM64	22110040	Post-translational_modification	PPI_directed
