#FLYBASE1	FLYBASE2	PubMedIDs	UniProt1	UniProt2	Type
FBgn0024222	FBgn0013983	12732719;11018014	Q9VEZ5	Q7K4Z4	reaction
FBgn0003450	FBgn0003450	11296245;12493753;11350927	P05049	P05049	reaction
FBgn0014396	FBgn0025680	15178801;19185492;15258584;10417378;11585911;16794082	P49021	O77059	direct_complex;reaction
FBgn0010441	FBgn0003495	11532919;16782008;11934858;9405646;10072384;9806920;9367441;8948598;14685264;10660298	Q05652	P48607	reaction;indirect_complex
FBgn0002413	FBgn0004103	17575052	O76324	P12982	direct_complex;reaction
FBgn0000711	FBgn0024836	10570971;11874917	P48462	Q9V5N8	reaction
FBgn0004009	FBgn0250823	16341016;16987508	P09615	Q86BR9	direct_complex;reaction;indirect_complex
FBgn0002413	FBgn0015024	10196136;17925225;10477300;11927557;10825151;10073940;10557210;8990193;14966281;16326393;9601642;11955436;10457025;11914126;11912487;14636583;12000790;9482888;11955435;12636921;11090136;10838083;15063184;10421629;10409506;15691767	O76324	P54367	direct_complex;reaction
FBgn0003495	FBgn0001990	11532919;16782008;11934858;9405646;10072384;9806920;9367441;8948598;14685264;10660298	P48607	Q9VJN5	reaction;indirect_complex
FBgn0000499	FBgn0004687	11301004;15269282	P51140	P54357	reaction
FBgn0004103	FBgn0005536	15269282;10570971;11874917	P12982	Q8IQN4	direct_complex;reaction
FBgn0002413	FBgn0001079	9482888;11955435;17925225;10557210;10409506;15063184;11914126;10477300;11912487;11090136;14636583;16326393;9601642;15691767;10825151	O76324	P23647	direct_complex;reaction
FBgn0261456	FBgn0034970	19330023;18256197;16096061;17889654;19733165	Q8T0S6	Q45VV3	direct_complex;reaction
FBgn0262473	FBgn0003882	11532919;16782008;11934858;9405646;10072384;9806920;9367441;8948598;14685264;10660298	P08953	P22812	reaction;indirect_complex
FBgn0002413	FBgn0025638	16386907;17925225;16326393	O76324	Q9W5E1	reaction;indirect_complex
FBgn0000499	FBgn0003090	15937478;18701542;11301004;10469646;12015986;12941693;12756182;15556868;9694801;16469972;10570971	P51140	A1Z6W3	direct_complex;reaction
FBgn0015024	FBgn0011217	16386907;17925225;16326393	P54367	P25867	reaction;indirect_complex
FBgn0001291	FBgn0000229	1922387;8946916;1749429;11865058;8946915	P18289	P92208	reaction;indirect_complex
FBgn0004177	FBgn0014396	18593878;17575052;14980226	P23696	P49021	reaction
