#UniProt1	UniProt2	PubMedIDs	Type
Q9VEZ5	Q7K4Z4	12732719;11018014	reaction
P68198	O77430	16386907;17925225;16326393	reaction;indirect_complex
P05049	P05049	11296245;12493753;11350927	reaction
P49021	O77059	15178801;19185492;15258584;10417378;11585911;16794082	direct_complex;reaction
P68198	Q9VRL1	16894030;16081424;14519762	direct_complex
Q05652	P48607	11532919;16782008;11934858;9405646;10072384;9806920;9367441;8948598;14685264;10660298	reaction;indirect_complex
O76324	P12982	17575052	direct_complex;reaction
P48462	Q9V5N8	10570971;11874917	reaction
P09615	Q86BR9	16341016;16987508	direct_complex;reaction;indirect_complex
O76324	P54367	10196136;17925225;10477300;11927557;10825151;10073940;10557210;8990193;14966281;16326393;9601642;11955436;10457025;11914126;11912487;14636583;12000790;9482888;11955435;12636921;11090136;10838083;15063184;10421629;10409506;15691767	direct_complex;reaction
P48607	Q9VJN5	11532919;16782008;11934858;9405646;10072384;9806920;9367441;8948598;14685264;10660298	reaction;indirect_complex
P35128	P68198	16894030;16081424;14519762	direct_complex
P51140	P54357	11301004;15269282	reaction
P12982	Q8IQN4	15269282;10570971;11874917	direct_complex;reaction
O76324	P23647	9482888;11955435;17925225;10557210;10409506;15063184;11914126;10477300;11912487;11090136;14636583;16326393;9601642;15691767;10825151	direct_complex;reaction
Q8T0S6	Q45VV3	19330023;18256197;16096061;17889654;19733165	direct_complex;reaction
P08953	P22812	11532919;16782008;11934858;9405646;10072384;9806920;9367441;8948598;14685264;10660298	reaction;indirect_complex
O76324	Q9W5E1	16386907;17925225;16326393	reaction;indirect_complex
P18824	P91667	11955436;14966281;10073940;12000790;8990193;10457025;11927557	direct_complex;reaction
P51140	A1Z6W3	15937478;18701542;11301004;10469646;12015986;12941693;12756182;15556868;9694801;16469972;10570971	direct_complex;reaction
P54367	P25867	16386907;17925225;16326393	reaction;indirect_complex
P18289	P92208	1922387;8946916;1749429;11865058;8946915	reaction;indirect_complex
P51140	Q7KW17	11301004;16469972;10570971	direct_complex;reaction
P23696	P49021	18593878;17575052;14980226	reaction
Q9VCR6	Q9VA38	12223493;15766530;12941274;12202036;19733165;19330023;14502295;12941273;17889654;17347649;18256197;16096061	direct_complex;reaction
Q7JUF2	Q9U779	11301004;10570971	direct_complex;reaction
P19538	O77430	16386907;17925225;16326393	reaction;indirect_complex
Q9VEZ5	Q9GNK5	12732719;11018014	reaction
P18824	P51140	11336703;12636921;10846164;15459103;14636582;14731402;12781135	reaction;indirect_complex
Q24592	Q9VWX2	9784499;15925495;9620640;9047382;11825879;12967563;8608596;16129580;10823841;16277982	direct_complex;reaction
P15330	Q7K105	11532919;10072384;9405646;9367441;8948598;10660298	reaction;indirect_complex
Q24311	Q24311	16386907;17925225;16326393	reaction
Q8IRY7	Q9GNK5	11018014;15657141;10934188;16767093;12732719;12433364	reaction;indirect_complex
Q24307	P35128	16894030;16081424;14519762	direct_complex
P23647	P23647	11934882;17960137;17881487;18211840;17671093;15750186;14636583;11495917;14523402;10825151	reaction
P48462	Q9U779	10570971;11874917	reaction
Q9VMS4	Q24217	19726650;12546820;12581523	reaction
P18824	Q9V9W8	11955446;16169192;15208637;16554443	reaction;indirect_complex
Q24311	O76324	16386907;17925225;16326393	reaction;indirect_complex
P54357	O45030	11301004;15269282	reaction
P36872	Q95V09	11336703;12636921;10196136;10846164;10421629;15459103;14636582;14731402;12781135	reaction;indirect_complex
P23696	Q95V09	11336703;12636921;10196136;10846164;10421629;15459103;14636582;14731402;12781135	reaction;indirect_complex
P18537	P54357	11301004;15269282	reaction
O76324	Q24292	19710173;16735478;16980976;19574458;19540118	direct_complex;reaction
A1Z6W3	Q7KW17	11301004;16469972;10570971	direct_complex;reaction
Q9NHX0	Q9VFP2	16740475;16651542;17102630;15331761	direct_complex;reaction
Q9W5E1	P18431	16386907;17925225;16326393	reaction;indirect_complex
Q9V407	P23696	11955436;14966281;10073940;12000790;8990193;10838083;10457025;11927557	reaction;indirect_complex
P21525	P92208	1922387;8946916;1749429;11865058;8946915	reaction;indirect_complex
Q9VWE0	Q24592	9784499;15925495;9620640;12783781;9047382;11825879;12967563;8608596;16129580;10823841;16277982	direct_complex;reaction
Q9VVX3	Q86BR9	16341016;16987508	direct_complex;reaction;indirect_complex
P54367	O77430	16386907;17925225;16326393	reaction;indirect_complex
P16371	P91943	9783586;15768032;16169192;15043810;11955446	direct_complex;reaction
P12982	P49021	17575052	direct_complex;reaction
Q9V5N8	O45030	15937478;18701542;9716412;11301004;10469646;18849982;18804371;18555784;12941693;12756182;14636582;15556868;9694801;16469972;10570971	reaction;indirect_complex
Q03017	P48607	11532919;10072384;9405646;9367441;8948598;10660298	reaction;indirect_complex
P48148	Q9W0J2	19576201;18701542;18723886	reaction;indirect_complex
Q9VEZ5	Q9GYV5	12732719;11018014;14519762	reaction;indirect_complex
Q4TZQ4	Q9V3Q6	16894030;16081424;17158449;16311020;14519762	direct_complex;reaction
Q9VVX3	P18431	11336703;12636921;10196136;10846164;10421629;15459103;14636582;14731402;12781135	reaction;indirect_complex
Q9V407	P51140	11336703;12636921;10846164;15459103;14636582;14731402;12781135	reaction;indirect_complex
O61735	O76324	10417378;16543224;15178801;18593878;19139270;12432393;18474612;20159956;15258584;9808471;16603629;11585911;10409723;19185492;10684876;17452449;12442174	direct_complex;reaction
Q9VCR6	Q95RA8	12223493;15766530;19733165;19330023;14502295;12941273;17889654;17347649;18256197;16096061	direct_complex;reaction
