#FlyBase1	FlyBase2	PubMedIDs	Evidence
FBgn0000477	FBgn0010424	NA	two-hybrid
FBgn0037383	FBgn0264978	NA	affinity-chromatography-technology
FBgn0002284	FBgn0261394	NA	affinity-chromatography-technology
FBgn0033019	FBgn0036679	NA	two-hybrid
FBgn0028953	FBgn0263197	NA	two-hybrid
FBgn0032812	FBgn0037675	NA	two-hybrid
FBgn0016120	FBgn0263757	NA	two-hybrid
FBgn0004924	FBgn0030096	NA	two-hybrid
FBgn0000064	FBgn0028515	NA	affinity-chromatography-technology
FBgn0035667	FBgn0037213	NA	two-hybrid
FBgn0031631	FBgn0267790	NA	two-hybrid
FBgn0033206	FBgn0086446	NA	affinity-chromatography-technology
FBgn0035007	FBgn0262614	NA	two-hybrid
FBgn0029905	FBgn0039972	NA	two-hybrid
FBgn0005593	FBgn0053837	NA	affinity-chromatography-technology
FBgn0004778	FBgn0038191	NA	two-hybrid
FBgn0000635	FBgn0250788	NA	interactome-parallel-affinity-capture;affinity-chromatography-technology
FBgn0003149	FBgn0053196	NA	affinity-chromatography-technology
FBgn0024556	FBgn0250814	NA	affinity-chromatography-technology
FBgn0053871	FBgn0261456	NA	two-hybrid
FBgn0001233	FBgn0243512	NA	chromatin-immunoprecipitation-assay
FBgn0010217	FBgn0053903	NA	anti-tag-coimmunoprecipitation;pull-down
FBgn0037001	FBgn0038088	NA	affinity-chromatography-technology
FBgn0016756	FBgn0265998	NA	two-hybrid
FBgn0002622	FBgn0029943	NA	two-hybrid
FBgn0019650	FBgn0266599	NA	two-hybrid
FBgn0026380	FBgn0031057	NA	pull-down
FBgn0035852	FBgn0039044	NA	affinity-chromatography-technology
FBgn0011764	FBgn0034259	NA	two-hybrid
FBgn0035272	FBgn0037892	NA	two-hybrid
FBgn0052099	FBgn0265434	NA	affinity-chromatography-technology
FBgn0030504	FBgn0266581	NA	affinity-chromatography-technology
FBgn0013278	FBgn0261611	NA	two-hybrid
FBgn0020235	FBgn0029975	NA	affinity-chromatography-technology
FBgn0000826	FBgn0263143	NA	two-hybrid
FBgn0027788	FBgn0031219	NA	two-hybrid
FBgn0035107	FBgn0052570	NA	two-hybrid
FBgn0032813	FBgn0263600	NA	affinity-chromatography-technology
FBgn0010217	FBgn0053893	NA	anti-tag-coimmunoprecipitation;pull-down
FBgn0026741	FBgn0030692	NA	affinity-chromatography-technology
FBgn0040078	FBgn0041205	NA	affinity-chromatography-technology
FBgn0033727	FBgn0264695	NA	two-hybrid
FBgn0013276	FBgn0038593	NA	two-hybrid
FBgn0033929	FBgn0265003	NA	two-hybrid
FBgn0030757	FBgn0039744	NA	two-hybrid
FBgn0086384	FBgn0259168	NA	two-hybrid
FBgn0000100	FBgn0266722	NA	two-hybrid
FBgn0042213	FBgn0262636	NA	two-hybrid
FBgn0010314	FBgn0037613	NA	affinity-chromatography-technology
FBgn0000117	FBgn0037317	NA	two-hybrid
FBgn0023174	FBgn0028689	NA	affinity-chromatography-technology
FBgn0011277	FBgn0031106	NA	two-hybrid
FBgn0004449	FBgn0035851	NA	pull-down
FBgn0026324	FBgn0039408	NA	two-hybrid
FBgn0002593	FBgn0031040	NA	two-hybrid
FBgn0000055	FBgn0003149	NA	affinity-chromatography-technology
FBgn0003124	FBgn0016977	NA	two-hybrid-fragment-pooling-approach;two-hybrid
FBgn0000055	FBgn0031037	NA	affinity-chromatography-technology
FBgn0043884	FBgn0053887	NA	anti-tag-coimmunoprecipitation
FBgn0026371	FBgn0042630	NA	two-hybrid
FBgn0053826	FBgn0262519	NA	anti-tag-coimmunoprecipitation
FBgn0016794	FBgn0264078	NA	affinity-chromatography-technology
FBgn0002838	FBgn0020767	NA	two-hybrid
FBgn0003870	FBgn0030400	NA	two-hybrid
FBgn0020412	FBgn0038303	NA	anti-tag-coimmunoprecipitation
FBgn0033735	FBgn0037455	NA	two-hybrid
FBgn0002524	FBgn0038388	NA	two-hybrid
FBgn0029763	FBgn0030679	NA	two-hybrid
FBgn0013276	FBgn0032791	NA	two-hybrid
FBgn0005536	FBgn0035206	NA	affinity-chromatography-technology
FBgn0031057	FBgn0039434	NA	two-hybrid
FBgn0034277	FBgn0266449	NA	affinity-chromatography-technology
FBgn0037059	FBgn0262617	NA	two-hybrid
FBgn0015393	FBgn0036812	NA	two-hybrid
FBgn0026317	FBgn0036389	NA	two-hybrid
FBgn0010379	FBgn0034869	NA	two-hybrid
FBgn0029095	FBgn0039215	NA	two-hybrid
FBgn0032640	FBgn0035607	NA	two-hybrid
FBgn0005638	FBgn0016756	NA	experimental-interaction-detection
FBgn0031600	FBgn0032123	NA	two-hybrid
FBgn0031959	FBgn0062517	NA	two-hybrid
FBgn0036615	FBgn0266599	NA	affinity-chromatography-technology
FBgn0003870	FBgn0013263	NA	experimental-interaction-detection
FBgn0032974	FBgn0261564	NA	two-hybrid
