FLYBASE	uniprot	Alias
FBgn0030647	Q9VXU5;X2JF48	Dmel\CG6324
FBgn0014931	Q8T053	B;Dmel\CG2678;anon-84Eb
FBgn0014930	O76206	C;Dmel\CG2846;anon-84Ea
FBgn0038690	Q9V3Q7	Dmel\CG11703;JYbeta2;anon-WO0140519.49
FBgn0027560	Q9Y119	19920676;BcDNA:GH08860;CG4104;CG4104 PA;Dmel\CG4104;TPS;TreS;dtps1;jf5;l(2)24Ea;l(2)jf4;l(2)jf5;l(2)k08903;tps1
FBgn0027561	A0A0B4JD05;A0A0B4JD58;A0A0B4K840;A1Z7Q5;A1Z7Q6;C8VV76	BcDNA:GH08789;CG30347;CG30348;CG8059;Dmel\CG18659;anon-WO0118547.140;anon-WO0118547.145
FBgn0027567	Q9VT61	BcDNA:GH07921;Dmel\CG8108
FBgn0027564	Q9Y123	BcDNA:GH08388;Dmel\CG3149
FBgn0027568	Q9VKY2	BcDNA:GH07774;CAND1;CG5366;Dmel\CG5366;dmCAND1
FBgn0027569	M9PEI8;Q9Y128	BcDNA:GH07688;CERT;CG7207;Dcert;Dmel\CG7207;dcert
FBgn0040358	Q9U1L6	Dmel\CG14625;EG:BACR42I17.8
FBgn0039296	Q9VBV5	Dmel\CG10420
FBgn0040355	Q8IRV4;Q9W4V2	Dmel\CG3526;EG:BACR43E12.4
FBgn0038692	Q9VDY6	Dmel\CG3773;anon-EST:fe2D10;anon-EST:fe2D12
FBgn0085212	A8DYY5	Dmel\CG34183
FBgn0266101	Q0E8G5;X2JCR2	CG14180;CG18632;CG32043;CG3628;Dmel\CG44838;Dmel_CG14180;Dmel_CG32043;anon-WO0118547.368;anon-WO0118547.427
FBgn0033434	Q7K1M4	Dmel\CG1902
FBgn0036117	Q9VTD9	Dmel\CG6321
FBgn0036116	Q7YTZ0;Q9VTD7	Dmel\CG7888
FBgn0036111	Q7JVG2	CG6391;Dmel\CG6391;anon-WO0118547.266
FBgn0036110	Q9VTC8	CG18348;DmelCpr67Fb;Dmel\CG18348
