uniprot	FLYBASE	Alias
Q8IQQ8	FBgn0036710	Dmel\CG6479
Q8IQQ9	FBgn0036702	AFG3L2;DmCG6512;Dmel\CG6512
M9PBX4	FBgn0263846	CG10020;CG31772;CG31959;Dmel\CG43707;Dmel_CG31772;Dmel_CG31959
Q8IQQ0	FBgn0010352	141810_at;CG11661;Dmel\CG11661;E1;FBgn0036682;Nc73eF;anon-WO0118547.329
Q8IQQ1	FBgn0036678	Dmel\CG11905
Q8IQQ3	FBgn0261565	BcDNA:RE37250;CG11914;CG11915;CG11916;CG32171;CG33256;CG42679;CG9959;Dmel\CG42679;Dmel_CG11915;Dmel_CG32171;Dmel_CG33256;lmpt
M9PJS6	FBgn0031195	CG17602;Dmel\CG17600
Q8IQQ6	FBgn0027660	CG3897;DmBLOT;Dmel\CG3897;l(3)1658
Q8IQQ7	FBgn0027660	CG3897;DmBLOT;Dmel\CG3897;l(3)1658
Q2PDR9	FBgn0250785	38E.21;CG9326;Dmel\CG9326;Vari;l(2)03953;l(2)03953b;l(2)38EFa;szar
Q8MLU9	FBgn0034662	Dmel\CG13492
M9PJ12	FBgn0263772	CG15376;CG32778;CG32790;CG43284;CG4985;Dmel\CG43689;Dmel_CG15376;Dmel_CG32778;Dmel_CG32790;Dmel_CG43284
P09957	FBgn0004034	CG3757;Dmel\CG3757;EG:125H10.2;T6;Y
Q9VIZ9	FBgn0000075	AMD-r;CG10501;CG17345;Dmel\CG10501;X04695;fAMD;l(2)37Bk;l(2)amd;l(2)amd alpha-methyldopa hypersensitive;l(2)amd[H]
Q9VJC8	FBgn0032645	Dmel\CG15142
Q9V535	FBgn0033378	CG8781;Dmel\CG8781;TSU;Tsu;Y14;Y14/Tsunagi;cg8781;y14
O96676	FBgn0026144	BcDNA.GH12350;BcDNA:GH12350;CG1435;Dmel\CG1435;cbp;dCBP
P40796	FBgn0011638	38C.38;BEST:LD24519;CG10922;D-La;DLa/SS-B;Dmel\CG10922;dmLa
M9PFM9	FBgn0020309	CG14938;Crol;Dmel\CG14938;ORE-15;anon-EST:Liang-1.74;anon-EST:Liang-2.48;clone 1.74;clone 2.48;crol alpha;crol beta;crol gamma;l(2)04418;l(2)s2346
P40794	FBgn0004389	Bnk;CG1480;Dmel\CG1480
P40795	FBgn0000719	114;CG9559;CR41108;CR41109;CR41110;Dmel\CG9559;Fog;M67;l(1)114;l(1)16-3-190;l(1)20Ba;l114
P40792	FBgn0010333	2248;CG2248;D-Rac;D-Rac 1;D-Rac1;DRac;DRac1;DRacA;Dm Rac1;DmRAC;DmRAC1;Dmel\CG2248;Dmrac1;Drac;Drac1;Drac1a;DracA;GTPase Rac1;P40792;RAC1;Rac;Rac GTPase;Rac-1;Rac3;RacA;dRac;dRac1;rac;rac1
P40793	FBgn0010341	CDC42;CG12530;Cdc42Dm;D-CDC42;D-Cdc42;D-cdc42;DCDC42;DCdc42;Dcdc42;Dm Cdc42;DmCDC42;Dmcdc42;Dmel\CG12530;P40793;cdc42
P40791	FBgn0011656	22.21;BEST:SD04091;C;CG1429;D-MEF2;D-Mef2;D-mef2;DMEF-2;DMEF2;DMedf2;DMef-2;DMef2;Dmef;Dmef-2;Dmef2;Dmel\CG1429;MEF-2;MEF2;Mef;Mef-2;SD04091;dMEF2;dMEf2;dMef2;dmef2;l(2)46CFr;mb247;mef;mef-2;mef2;mef2c
Q9VY61	FBgn0030540	Dmel\CG11581
Q9VY63	FBgn0030538	CG13402;Dmel\CG13402
Q9VY62	FBgn0030539	Dmel\CG1368
Q9VY65	FBgn0040871	Dmel\CG12479;Minos1a
P40798	FBgn0001978	151662_s_at;BG:DS04929.4;BcDNA.LD22726;BcDNA:LD22726;CG3647;Cf4;Dmel\CG3647;LD22726;br33;l(2)35Cb;l(2)SH1565;l(2)SH2 1565;l(2)br33;l35Cb
Q9W450	FBgn0029830	CG14447;CG5980;DGrip;Dgrip;Dmel\CG14447;GRIP;dGRIP;dgrip;grip
Q9VCR9	FBgn0039043	Dmel\CG17121
Q9VCR7	FBgn0039045	CTNS;Dmel\CG17119
Q9VCR6	FBgn0053193	CG13831;CG13832;CG33193;Dmel\CG33193;Salvador/Shar-pei;Sav;anon-WO0172774.152;shar-pei
Q9W451	FBgn0005390	CG4790;Dmel\CG4790;Fs(1)K646;fs(1)K646;fs(1)ph;fs(1)phl;fs(1)pole hole;fs(1)polehole
Q9VCR3	FBgn0039054	CG13830;Dmel\CG13830;cow
Q9VCR2	FBgn0039049	Dmel\CG6726
Q03042	FBgn0000442	CG3324;DG1;Dg1;Dmel\CG3324;PKG;PKG 21D;PKG-21D;Pkg1;cGMP;dg1;pkg21D
Q03043	FBgn0000721	142251_at;BcDNA:GM08338;CG10033;DG2;Dg2;Dmel\CG10033;FOR/PKG;For;PKG;Pkg2;Pkg24A;anon-WO0140519.260;anon-WO02059370.47;dg2;l(2)06860
A0A0B4KEZ6	FBgn0034389	CG15078;CG33146;CG33148;DmMCTP;Dmel\CG15078
A8JUQ2	FBgn0030976	BcDNA:RH25447;Dmel\CG7378;MKP-like
Q8IQQ4	FBgn0053052	CG3882;Dmel\CG33052
X2JIP7	FBgn0029893	Dmel\CG14442
Q7KRY6	FBgn0027889	BALL;Ball;BcDNA:LD09009;CG6386;Dmel\CG6386;NHK-1;NHK1;VRK;nhk-1;trip
Q7KRY7	FBgn0263289	0424/05;CG31082;CG42614;CG43398;CG5462;CG5467;CT17324;Dmel\CG43398;Dmel_CG31082;Dmel_CG42614;Dmel_CG5462;Dmel_CG5467;MENE (3R)-F;SCR;Scb;Scrb;Scrib;ird;ird15;l(3)673;l(3)S042405;l(3)c00119;l(3)j7B3;scrb;smi97B;vart
M9PC82	FBgn0031388	Dmel\CG12674
X2JI61	FBgn0040333	CG13762;CT33244;Dmel\CG13762;EG:BACR7C10.7
A0A0B4KEZ3	FBgn0034317	CR14499;Dmel\CG14499;Dmel_CR14499
Q7KTL6	FBgn0031865	CG10806;DmNHA1;Dmel\CG10806;nha1
Q9VUR8	FBgn0036520	Dmel\CG13449
Q9VBR0	FBgn0039336	Dmel\CG4553
