# 6513 positives
# 65130 negatives
#edge_type	numedges	numpos	numneg
MI:0416	64	7	16
worm_interologs	3333	125	952
Post-translational_modification	1502	572	260
MI:0402	82	4	22
human_interologs	57454	2911	15652
indirect_complex	156	84	18
MI:0428	96	13	16
curagen_yth	18637	204	5296
MI:0892	88	4	27
MI:0040	29	1	8
Directed_protein-protein_interaction	124	87	7
MI:0676	68	1	19
MI:0007	66635	1088	18747
MI:0006	271	25	72
MI:0004	20352	825	5592
yeast_interologs	54862	509	15669
MI:0029	259	15	70
MI:0028	29	1	9
interaction_from_external_databases	415	261	47
MI:0047	66	9	22
MI:0045	800	169	196
FB2015_05	15335	597	4249
dpim_coapcomplex	59145	788	16691
MI:0963	726	76	156
fly_other_physical	17666	820	4855
flybase_ppi	15335	597	4249
miscellaneous	191	32	48
Interaction_between_pathway_members	193	108	31
MI:0415	273	33	63
perrimon_coapcomplex	355	62	81
direct_complex	138	53	21
hub-spoke-model	355	62	81
MI:0686	649	105	154
reaction	398	160	68
MI:0071	59	2	15
hybrigenics_yth	1755	130	513
finley_yth	8528	139	2502
anti-tag-coip	355	62	81
MI:0096	7415	234	2042
MI:0090	163	0	34
MI:0401	496	23	147
MI:0055	71	13	17
MI:0397	715	24	192
MI:0114	147	9	42
MI:0254	2170	368	498
MI:0018	25888	504	7406
MI:0019	177	33	35
MI:0399	1609	124	464
MI:0727	8528	139	2502
