#total	Pr(I=1|E)	Pr(I=0|E)	prob	edge_type
124	1.52687e-04	1.50180e-05	9.10450e-01	Directed_protein-protein_interaction
415	4.70810e-04	1.00897e-04	8.23516e-01	interaction_from_external_databases
156	1.47353e-04	3.86242e-05	7.92318e-01	indirect_complex
193	1.90164e-04	6.65327e-05	7.40812e-01	Interaction_between_pathway_members
138	9.25267e-05	4.50636e-05	6.72480e-01	direct_complex
398	2.84031e-04	1.46026e-04	6.60450e-01	reaction
1502	1.08583e-03	5.59986e-04	6.59751e-01	Post-translational_modification
177	5.74332e-05	7.51222e-05	4.33277e-01	MI:0019
800	3.00433e-04	4.21727e-04	4.16020e-01	MI:0045
96	2.25556e-05	3.43316e-05	3.96497e-01	MI:0428
2170	6.75383e-04	1.07654e-03	3.85510e-01	MI:0254
355	1.08390e-04	1.73977e-04	3.83862e-01	perrimon_coapcomplex
355	1.08390e-04	1.73977e-04	3.83862e-01	hub-spoke-model
355	1.08390e-04	1.73977e-04	3.83862e-01	anti-tag-coip
71	2.25556e-05	3.64778e-05	3.82081e-01	MI:0055
649	1.84795e-04	3.31143e-04	3.58173e-01	MI:0686
191	5.56842e-05	1.03045e-04	3.50812e-01	miscellaneous
273	5.74332e-05	1.35278e-04	2.98027e-01	MI:0415
726	1.33154e-04	3.35454e-04	2.84148e-01	MI:0963
64	1.21341e-05	3.43316e-05	2.61141e-01	MI:0416
66	1.56058e-05	4.72103e-05	2.48436e-01	MI:0047
271	4.34563e-05	1.54625e-04	2.19386e-01	MI:0006
1609	2.18883e-04	1.00251e-03	1.79207e-01	MI:0399
1755	2.29690e-04	1.10922e-03	1.71550e-01	hybrigenics_yth
57454	9.11428e-03	4.41983e-02	1.70959e-01	human_interologs
259	2.60337e-05	1.50325e-04	1.47618e-01	MI:0029
147	1.56058e-05	9.01564e-05	1.47556e-01	MI:0114
82	6.93058e-06	4.72103e-05	1.28010e-01	MI:0402
17666	1.62441e-03	1.12538e-02	1.26136e-01	fly_other_physical
496	3.99675e-05	3.16057e-04	1.12261e-01	MI:0401
20352	1.63576e-03	1.31226e-02	1.10836e-01	MI:0004
88	6.93058e-06	5.79443e-05	1.06830e-01	MI:0892
15335	1.13807e-03	9.75108e-03	1.04514e-01	FB2015_05
15335	1.13807e-03	9.75108e-03	1.04514e-01	flybase_ppi
59	3.46423e-06	3.21853e-05	9.71744e-02	MI:0071
3333	2.20683e-04	2.07252e-03	9.62336e-02	worm_interologs
715	4.17117e-05	4.13095e-04	9.17129e-02	MI:0397
29	1.73185e-06	1.71637e-05	9.16538e-02	MI:0040
7415	4.20290e-04	4.52227e-03	8.50348e-02	MI:0096
29	1.73185e-06	1.93094e-05	8.23071e-02	MI:0028
25888	9.45915e-04	1.79257e-02	5.01238e-02	MI:0018
8528	2.45939e-04	5.58170e-03	4.22021e-02	finley_yth
8528	2.45939e-04	5.58170e-03	4.22021e-02	MI:0727
68	1.73185e-06	4.07706e-05	4.07470e-02	MI:0676
66635	2.26179e-03	5.64704e-02	3.85103e-02	MI:0007
59145	1.55230e-03	4.81432e-02	3.12361e-02	dpim_coapcomplex
18637	3.64665e-04	1.23665e-02	2.86434e-02	curagen_yth
54862	9.56095e-04	4.42615e-02	2.11443e-02	yeast_interologs
163	0.00000e+00	7.29747e-05	0.00000e+00	MI:0090
