# 6558 positives
# 65580 negatives
#edge_type	numedges	numpos	numneg
MI:0416	64	7	16
worm_interologs	3311	125	971
Post-translational_modification	1547	584	276
MI:0402	70	4	16
human_interologs	57077	2914	15843
indirect_complex	167	94	16
MI:0428	94	13	23
curagen_yth	18506	203	5294
MI:0892	88	4	25
MI:0040	29	1	7
Directed_protein-protein_interaction	118	86	14
MI:0676	66	1	22
MI:0007	66614	1088	19214
MI:0006	270	25	82
MI:0004	20159	820	5512
yeast_interologs	54064	509	15660
MI:0029	259	15	78
MI:0028	27	1	6
interaction_from_external_databases	441	281	55
MI:0047	66	9	11
MI:0045	815	174	179
FB2015_05	15345	597	4248
dpim_coapcomplex	59122	788	17101
MI:0963	729	77	191
fly_other_physical	17664	818	4987
flybase_ppi	15345	597	4248
miscellaneous	189	32	53
Interaction_between_pathway_members	191	113	23
MI:0415	259	33	78
perrimon_coapcomplex	354	62	73
direct_complex	144	57	22
hub-spoke-model	354	62	73
MI:0686	621	106	137
reaction	414	173	61
MI:0071	59	2	19
hybrigenics_yth	1755	130	487
finley_yth	8511	139	2386
anti-tag-coip	354	62	73
MI:0096	7414	235	2112
MI:0090	163	0	54
MI:0401	496	23	149
MI:0055	66	13	17
MI:0397	711	24	189
MI:0114	146	9	47
MI:0254	2163	368	527
MI:0018	25523	504	7269
MI:0019	178	34	38
MI:0399	1609	124	440
MI:0727	8511	139	2386
