#total	Pr(I=1|E)	Pr(I=0|E)	prob	edge_type
118	1.50675e-04	2.97052e-05	8.35319e-01	Directed_protein-protein_interaction
167	1.64895e-04	3.39498e-05	8.29265e-01	indirect_complex
441	5.07616e-04	1.16772e-04	8.12982e-01	interaction_from_external_databases
191	1.98809e-04	4.88081e-05	8.02889e-01	Interaction_between_pathway_members
414	3.07232e-04	1.29523e-04	7.03443e-01	reaction
144	9.94204e-05	4.66853e-05	6.80469e-01	direct_complex
1547	1.10848e-03	5.87966e-04	6.53413e-01	Post-translational_modification
815	3.09056e-04	3.80760e-04	4.48026e-01	MI:0045
178	5.90943e-05	8.06579e-05	4.22851e-01	MI:0019
354	1.08225e-04	1.55031e-04	4.11101e-01	perrimon_coapcomplex
354	1.08225e-04	1.55031e-04	4.11101e-01	hub-spoke-model
354	1.08225e-04	1.55031e-04	4.11101e-01	anti-tag-coip
66	1.55829e-05	2.33387e-05	4.00366e-01	MI:0047
621	1.86291e-04	2.91233e-04	3.90119e-01	MI:0686
66	2.25224e-05	3.60723e-05	3.84376e-01	MI:0055
2163	6.74121e-04	1.12701e-03	3.74277e-01	MI:0254
189	5.56012e-05	1.12522e-04	3.30716e-01	miscellaneous
94	2.25224e-05	4.88081e-05	3.15747e-01	MI:0428
64	1.21163e-05	3.39498e-05	2.63020e-01	MI:0416
259	5.73475e-05	1.65662e-04	2.57153e-01	MI:0415
729	1.34719e-04	4.06361e-04	2.48982e-01	MI:0963
270	4.33919e-05	1.74168e-04	1.99448e-01	MI:0006
1609	2.18535e-04	9.39698e-04	1.88680e-01	MI:0399
1755	2.29323e-04	1.04083e-03	1.80548e-01	hybrigenics_yth
57077	9.06759e-03	4.43140e-02	1.69864e-01	human_interologs
70	6.92045e-06	3.39498e-05	1.69327e-01	MI:0402
259	2.59953e-05	1.65662e-04	1.35634e-01	MI:0029
146	1.55829e-05	9.97748e-05	1.35083e-01	MI:0114
17664	1.61593e-03	1.14499e-02	1.23676e-01	fly_other_physical
27	1.72932e-06	1.27292e-05	1.19605e-01	MI:0028
88	6.92045e-06	5.30539e-05	1.15390e-01	MI:0892
20159	1.62044e-03	1.27658e-02	1.12638e-01	MI:0004
496	3.99083e-05	3.16801e-04	1.11879e-01	MI:0401
15345	1.13563e-03	9.63564e-03	1.05431e-01	FB2015_05
15345	1.13563e-03	9.63564e-03	1.05431e-01	flybase_ppi
29	1.72932e-06	1.48510e-05	1.04300e-01	MI:0040
3311	2.20332e-04	2.09079e-03	9.53357e-02	worm_interologs
711	4.16498e-05	4.02093e-04	9.38601e-02	MI:0397
7414	4.21430e-04	4.62937e-03	8.34382e-02	MI:0096
59	3.45917e-06	4.03173e-05	7.90190e-02	MI:0071
25523	9.43994e-04	1.73423e-02	5.16229e-02	MI:0018
8511	2.45543e-04	5.25264e-03	4.46590e-02	MI:0727
8511	2.45543e-04	5.25264e-03	4.46590e-02	finley_yth
66614	2.25539e-03	5.76503e-02	3.76491e-02	MI:0007
66	1.72932e-06	4.66853e-05	3.57190e-02	MI:0676
59122	1.54857e-03	4.90740e-02	3.05906e-02	dpim_coapcomplex
18506	3.62211e-04	1.22166e-02	2.87953e-02	curagen_yth
54064	9.54147e-04	4.36416e-02	2.13955e-02	yeast_interologs
163	0.00000e+00	1.14647e-04	0.00000e+00	MI:0090
