#a1	a2	w1	w2	iqr
1.000	2.000	0.200	0.400	9.636020e-02
1.000	2.000	0.200	0.600	1.288007e-01
1.000	2.000	0.300	0.500	1.195006e-01
1.000	2.000	0.500	0.300	7.195360e-02
1.000	2.000	0.400	0.200	6.208470e-02
2.000	0.500	0.200	0.700	6.440040e-02
2.000	2.000	0.100	0.500	1.148531e-01
2.000	2.000	0.100	0.700	1.288007e-01
2.000	2.000	0.100	0.800	6.440030e-02
1.000	2.000	0.100	0.200	1.086482e-01
2.000	2.000	0.600	0.300	7.163710e-02
2.000	2.000	0.400	0.300	7.407640e-02
2.000	2.000	0.200	0.400	9.636020e-02
2.000	2.000	0.200	0.600	1.214066e-01
2.000	2.000	0.300	0.500	1.025641e-01
1.000	1.000	0.400	0.500	1.624146e-01
1.000	1.000	0.500	0.400	1.533936e-01
2.000	1.000	0.500	0.400	1.248996e-01
2.000	1.000	0.400	0.500	1.108786e-01
1.000	2.000	0.200	0.300	7.760590e-02
1.000	2.000	0.300	0.200	7.760590e-02
1.000	2.000	0.400	0.500	1.191841e-01
1.000	2.000	0.500	0.400	9.541060e-02
2.000	2.000	0.100	0.300	9.312710e-02
1.000	1.000	0.100	0.400	1.369791e-01
1.000	1.000	0.100	0.600	1.806358e-01
2.000	1.000	0.100	0.400	1.369791e-01
2.000	1.000	0.100	0.600	1.806358e-01
1.000	2.000	0.100	0.400	9.667680e-02
1.000	2.000	0.100	0.600	1.317730e-01
2.000	2.000	0.500	0.400	9.541060e-02
2.000	2.000	0.200	0.200	9.312710e-02
2.000	2.000	0.300	0.300	7.258670e-02
2.000	2.000	0.400	0.500	1.063256e-01
1.000	1.000	0.200	0.400	1.402263e-01
1.000	1.000	0.200	0.600	1.376298e-01
1.000	1.000	0.300	0.500	1.599562e-01
2.000	1.000	0.300	0.600	8.703920e-02
2.000	1.000	0.200	0.500	1.537767e-01
2.000	1.000	0.200	0.700	6.440030e-02
2.000	1.000	0.300	0.400	1.298015e-01
1.000	0.500	0.100	0.700	1.288008e-01
1.000	0.500	0.100	0.800	6.881490e-02
1.000	2.000	0.200	0.500	1.165433e-01
1.000	2.000	0.200	0.700	1.221087e-01
1.000	2.000	0.300	0.400	9.604370e-02
1.000	2.000	0.600	0.300	7.163710e-02
1.000	2.000	0.300	0.600	1.341362e-01
1.000	2.000	0.400	0.300	7.407640e-02
2.000	2.000	0.100	0.400	9.667680e-02
2.000	2.000	0.100	0.600	1.317730e-01
1.000	2.000	0.100	0.300	9.312710e-02
2.000	0.500	0.100	0.700	1.288008e-01
2.000	0.500	0.100	0.800	6.440030e-02
2.000	2.000	0.300	0.600	8.703920e-02
2.000	2.000	0.400	0.200	6.208470e-02
2.000	2.000	0.500	0.300	7.195360e-02
2.000	2.000	0.200	0.500	1.115297e-01
2.000	2.000	0.200	0.700	6.440030e-02
2.000	2.000	0.300	0.400	9.604370e-02
1.000	1.000	0.400	0.400	1.508331e-01
2.000	1.000	0.400	0.400	1.264047e-01
1.000	2.000	0.400	0.400	9.572710e-02
1.000	2.000	0.200	0.200	9.312710e-02
1.000	2.000	0.300	0.300	8.116550e-02
2.000	2.000	0.100	0.200	1.086482e-01
1.000	1.000	0.100	0.500	1.634891e-01
1.000	1.000	0.100	0.700	1.288007e-01
1.000	1.000	0.100	0.800	6.881490e-02
2.000	1.000	0.100	0.500	1.634891e-01
2.000	1.000	0.100	0.700	1.288007e-01
2.000	1.000	0.100	0.800	6.440030e-02
1.000	0.500	0.200	0.700	1.221087e-01
1.000	2.000	0.100	0.500	1.149673e-01
1.000	2.000	0.100	0.700	1.288007e-01
1.000	2.000	0.100	0.800	6.881490e-02
2.000	2.000	0.400	0.400	9.572710e-02
2.000	2.000	0.200	0.300	7.760590e-02
2.000	2.000	0.300	0.200	7.760590e-02
1.000	1.000	0.200	0.500	1.541401e-01
1.000	1.000	0.200	0.700	1.221087e-01
1.000	1.000	0.300	0.400	1.578193e-01
1.000	1.000	0.300	0.600	1.728703e-01
2.000	1.000	0.200	0.400	1.335414e-01
2.000	1.000	0.200	0.600	1.288007e-01
2.000	1.000	0.300	0.500	1.288007e-01
